iter	Passed	Remaining
646	19221	3773
647	19251	3743
648	19284	3714
649	19320	3685
650	19350	3656
651	19379	3626
652	19408	3596
653	19436	3566
654	19465	3536
655	19500	3507
656	19533	3478
657	19561	3448
658	19591	3418
659	19620	3388
660	19648	3358
661	19678	3329
662	19712	3300
663	19744	3270
664	19774	3241
665	19803	3211
666	19832	3181
667	19860	3151
668	19889	3121
669	19922	3092
670	19955	3063
671	19983	3033
672	20011	3003
673	20040	2973
674	20068	2943
675	20097	2913
676	20129	2884
677	20162	2854
678	20193	2825
679	20221	2795
680	20252	2765
681	20280	2735
682	20310	2706
683	20343	2676
684	20378	2647
685	20408	2617
686	20437	2588
687	20465	2558
688	20494	2528
689	20523	2498
690	20557	2469
691	20589	2439
692	20617	2409
693	20645	2379
694	20674	2350
695	20702	2320
696	20730	2290
697	20763	2260
698	20796	2231
699	20825	2201
700	20854	2171
701	20882	2141
702	20910	2111
703	20940	2082
704	20973	2052
705	21005	2023
706	21034	1993
707	21062	1963
708	21090	1933
709	21118	1903
710	21146	1873
711	21178	1844
712	21211	1814
713	21239	1784
714	21268	1755
715	21297	1725
716	21325	1695
717	21353	1665
718	21386	1635
719	21422	1606
720	21450	1576
721	21479	1546
722	21507	1517
723	21536	1487
724	21566	1457
725	21600	1428
726	21633	1398
727	21661	1368
728	21690	1338
729	21718	1309
730	21746	1279
731	21776	1249
732	21809	1219
733	21841	1190
734	21870	1160
735	21899	1130
736	21927	1100
737	21955	1070
738	21984	1041
739	22019	1011
740	22053	982
741	22082	952
742	22111	922
743	22139	892
744	22167	862
745	22198	833
746	22232	803
747	22265	773
748	22294	744
749	22323	714
750	22351	684
751	22379	654
752	22408	624
753	22441	595
754	22473	565
755	22502	535
756	22530	505
757	22559	476
758	22587	446
759	22616	416
760	22648	386
761	22680	357
762	22711	327
763	22739	297
764	22768	267
765	22796	238
766	22824	208
767	22855	178
768	22888	148
769	22918	119
770	22947	89
771	22975	59
772	23003	29
773	23034	0
